"","State","Rank","Name","City","Zip","URL","Latitude","Longitude","ADMrate","Ownership","Citytype","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Edu","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History","Earn","CrimeRate","HappyRank","HappyScore"
"126","IA",126,"Drake University","Des Moines","50311-4505","www.drake.edu",41.60381,-93.654062,"0.6926","Private nonprofit","City","1239",44261,0,1,0,1,1,0,1,1,1,1,1,1,"57200",273.5,7,60.92
"127","DE",127,"University of Delaware","Newark","19716","www.udel.edu/",39.6795744,-75.7529169,"0.6783","Public","Suburb","1194",23357,1,1,1,1,2,2,1,1,1,2,2,2,"53100",489.1,19,57.01
"128","VT",128,"University of Vermont","Burlington","05405-0160","www.uvm.edu",44.479262,-73.198128,"0.7344","Public","City","1191",28348,1,1,0,1,1,1,1,1,1,1,1,1,"44500",99.3,14,58.01
"129","CO",129,"University of Denver","Denver","80208","www.du.edu",39.695954,-104.964625,"0.7649","Private nonprofit","City","1231",55476,1,1,0,1,0,1,1,1,1,2,2,1,"53000",309.1,5,61.59
"130","CO",130,"Colorado School of Mines","Golden","80401","www.mines.edu",39.75079,-105.227148,"0.3647","Public","Suburb","1333",30154,0,0,0,1,0,1,0,1,0,1,0,0,"80900",309.1,5,61.59
"131","NJ",131,"Rutgers University-Camden","Camden","08102","www.rutgers.edu",39.948628,-75.125303,"0.6038","Public","City","1025",23651,0,0,0,1,0,0,1,1,1,1,1,1,"54700",261.2,20,56.82
"132","TX",132,"Texas A & M University-Corpus Christi","Corpus Christi","78412-5503","www.tamucc.edu",27.718601,-97.331933,"0.8462","Public","City","970",18745,0,1,0,1,0,1,1,1,1,1,1,1,"41500",405.9,29,52.23
"133","VT",133,"Bennington College","Bennington","05201-6003","www.bennington.edu",42.92004,-73.237498,"0.6721","Private nonprofit","Town","NULL",61920,0,1,1,1,1,0,1,1,1,1,0,1,"30900",99.3,14,58.01
"134","NY",134,"Syracuse University","Syracuse","13244","syr.edu/",43.040005,-76.136633,"0.5323","Private nonprofit","City","1184",57450,0,0,1,1,1,1,1,1,1,1,1,1,"55000",381.8,26,52.54
"135","NY",135,"Fordham University","Bronx","10458","www.fordham.edu",40.861183,-73.889578,"0.4812","Private nonprofit","City","1254",59105,0,0,0,1,1,1,1,1,1,1,1,1,"53400",381.8,26,52.54
"136","WI",136,"Beloit College","Beloit","53511-5595","www.beloit.edu",42.50363,-89.03147,"0.6931","Private nonprofit","City","NULL",50378,0,1,0,1,1,1,1,1,1,1,1,1,"39100",290.3,15,57.8
"137","CT",137,"University of Connecticut","Storrs","06269","uconn.edu/",41.806261,-72.247969,"0.4996","Public","Suburb","1246",26966,1,1,1,1,1,1,1,1,1,1,1,1,"55200",236.9,17,57.04
"138","OR",138,"Willamette University","Salem","97301","www.willamette.edu",44.935743,-123.030727,"0.8131","Private nonprofit","City","1209",54536,0,1,0,1,0,0,1,1,1,1,0,1,"44400",232.3,32,51.4
"139","MI",139,"Michigan State University","East Lansing","48824-1046","www.msu.edu",42.73212,-84.476111,"0.6609","Public","City","1158",24323,1,1,1,1,1,1,1,1,1,1,1,1,"51700",427.3,43,44.17
"140","CA",140,"Loyola Marymount University","Los Angeles","90045-2659","www.lmu.edu",33.970633,-118.415655,"0.5271","Private nonprofit","City","1218",57016,0,1,0,1,0,1,1,1,1,1,1,1,"59700",396.1,10,59.96
"141","MA",141,"Hampshire College","Amherst","01002-5001","www.hampshire.edu",42.324772,-72.532401,"0.6664","Private nonprofit","Suburb","NULL",60048,1,1,1,1,1,0,1,1,1,1,1,1,"29600",391.4,16,57.42
"142","IN",142,"Wabash College","Crawfordsville","47933-0352","www.wabash.edu",40.037799,-86.905809,"0.6998","Private nonprofit","Town","1128",46660,0,0,0,0,0,0,1,1,1,1,0,1,"51300",365.3,40,45.94
"143","NY",143,"St Lawrence University","Canton","13617","www.stlawu.edu",44.589879,-75.161343,"0.4764","Private nonprofit","Town","NULL",59550,0,1,0,1,0,0,1,1,1,1,1,1,"47800",381.8,26,52.54
"144","ME",144,"College of the Atlantic","Bar Harbor","04609","www.coa.edu",44.399584,-68.228849,"0.711","Private nonprofit","Town","NULL",49890,0,0,0,0,0,0,0,0,0,0,0,0,"22400",127.8,33,51.32
"145","MI",145,"Hope College","Holland","49422-9000","www.hope.edu",42.788052,-86.105376,"0.7741","Private nonprofit","City","1185",39856,0,0,0,1,1,1,1,1,1,1,1,1,"41900",427.3,43,44.17
"146","OR",146,"Lewis & Clark College","Portland","97219-7899","www.lclark.edu/",45.450547,-122.672478,"0.6662","Private nonprofit","City","NULL",55517,0,1,0,1,0,0,1,1,1,1,0,1,"42300",232.3,32,51.4
"147","WI",147,"Marquette University","Milwaukee","53233","www.marquette.edu",43.03903,-87.927961,"0.6671","Private nonprofit","City","1220",48364,0,0,0,1,1,1,1,1,1,1,1,1,"59500",290.3,15,57.8
"148","CA",148,"Westmont College","Santa Barbara","93108-1089","www.westmont.edu",34.449265,-119.661932,"0.7936","Private nonprofit","Suburb","1175",53670,0,0,0,1,0,1,1,1,1,1,1,1,"43600",396.1,10,59.96
"149","UT",149,"University of Utah","Salt Lake City","84112-9008","www.utah.edu",40.762484,-111.846044,"0.8142","Public","City","1131",18931,0,1,1,1,1,1,1,1,1,1,1,1,"51800",215.6,1,71.02
"150","AZ",150,"Arizona State University-Tempe","Tempe","85287","www.asu.edu/",33.422247,-111.934629,"0.8433","Public","City","1145",22312,0,1,1,1,1,1,1,1,1,2,1,1,"46600",399.9,31,51.51
"151","AR",151,"Hendrix College","Conway","72032-3080","www.hendrix.edu",35.09972,-92.442021,"0.8282","Private nonprofit","City","1244",52536,0,1,0,1,0,0,1,1,1,1,1,1,"36500",480.1,47,38.22
"152","CA",152,"University of California-Irvine","Irvine","92697","www.uci.edu/",33.648434,-117.841248,"0.3742","Public","City","1168",29759,0,1,1,1,1,1,1,1,1,1,1,1,"51500",396.1,10,59.96
"153","VA",153,"Virginia Military Institute","Lexington","24450-0304","www.vmi.edu",37.790644,-79.435737,"0.444","Public","Town","1162",25642,0,0,0,1,0,1,1,1,1,1,0,1,"53900",196.2,21,56.61
"154","PA",154,"Pennsylvania State University-Dickinson Law","Carlisle","17013-2861","law.psu.edu/",40.199443,-77.197794,"NULL","Public","City","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,"47600",314.1,34,49.98
"155","CT",155,"Fairfield University","Fairfield","06824-5195","fairfield.edu/",41.160732,-73.25778,"0.7153","Private nonprofit","Suburb","NULL",57966,0,0,0,1,1,1,1,1,1,1,1,1,"64600",236.9,17,57.04
"156","MA",156,"Worcester Polytechnic Institute","Worcester","01609-2280","www.wpi.edu",42.275067,-71.808792,"0.4378","Private nonprofit","City","NULL",57637,0,0,0,1,0,1,1,1,1,1,1,0,"72900",391.4,16,57.42
"157","CA",157,"California Polytechnic State University-San Luis Obispo","San Luis Obispo","93407","calpoly.edu",35.29889,-120.65856,"0.3089","Public","Suburb","1234",24218,1,1,1,1,1,1,1,1,1,1,1,1,"59900",396.1,10,59.96
"158","SC",158,"Clemson University","Clemson","29634","www.clemson.edu",34.677329,-82.834463,"0.5152","Public","Suburb","1261",26065,1,1,1,1,1,2,1,1,1,1,1,1,"48700",497.7,38,47.06
"159","NC",159,"Elon University","Elon","27244-2010","www.elon.edu",36.104149,-79.505632,"0.5393","Private nonprofit","Suburb","1225",43388,0,1,0,1,1,1,1,1,1,1,1,1,"47500",329.5,30,52.16
"160","LA",160,"Louisiana State University Health Sciences Center-New Orleans","New Orleans","70112-2223","www.lsuhsc.edu",29.957272,-90.083145,"NULL","Public","City","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,"83000",514.7,46,39.03
"161","PA",161,"Juniata College","Huntingdon","16652-2196","www.juniata.edu",40.499511,-78.015204,"0.7417","Private nonprofit","Town","NULL",49098,0,1,0,1,1,1,1,1,1,1,1,1,"47300",314.1,34,49.98
"162","MN",162,"Gustavus Adolphus College","Saint Peter","56082-1498","WWW.GUSTAVUS.EDU",44.324968,-93.971928,"0.6107","Private nonprofit","Town","NULL",50008,0,1,0,1,1,0,1,1,1,1,1,1,"47600",229.1,2,69.09
"163","VA",163,"James Madison University","Harrisonburg","22807","www.jmu.edu/",38.435332,-78.871663,"0.6573","Public","City","1153",22601,0,0,0,1,0,1,1,1,1,1,1,1,"53100",196.2,21,56.61
"164","PA",164,"Ursinus College","Collegeville","19426-1000","www.ursinus.edu",40.19405,-75.455654,"0.8316","Private nonprofit","Suburb","NULL",58610,0,1,0,1,0,1,1,1,1,1,1,1,"51300",314.1,34,49.98
"165","FL",165,"Florida State University","Tallahassee","32306-1037","www.fsu.edu",30.4421,-84.294801,"0.5539","Public","City","1228",21408,0,1,0,1,1,1,1,1,1,1,1,1,"44700",540.5,35,49.14
"166","MA",166,"Bentley University","Waltham","02452-4705","www.bentley.edu",42.388798,-71.220148,"0.4611","Private nonprofit","City","1247",56768,0,0,0,1,0,0,0,1,0,0,1,1,"75600",391.4,16,57.42
"167","NJ",167,"Ramapo College of New Jersey","Mahwah","07430-1680","www.ramapo.edu",41.007523,-74.116384,"0.5332","Public","Suburb","1082",27561,0,1,0,1,0,0,1,1,1,1,1,1,"48200",261.2,20,56.82
"168","WA",168,"Gonzaga University","Spokane","99258-0001","www.gonzaga.edu",47.668144,-117.403062,"0.6751","Private nonprofit","City","1207",48357,0,1,0,1,1,1,1,1,1,1,1,1,"52200",285.2,12,59.26
"169","OR",169,"University of Portland","Portland","97203-5798","www.up.edu",45.571807,-122.726859,"0.6293","Private nonprofit","City","1195",51947,0,1,0,1,1,1,1,1,1,1,1,1,"53800",232.3,32,51.4
"170","IN",170,"Rose-Hulman Institute of Technology","Terre Haute","47803-3920","www.rose-hulman.edu",39.480946,-87.32357,"0.5879","Private nonprofit","City","1308",57138,0,0,0,1,0,1,1,1,0,1,0,0,"73500",365.3,40,45.94
"171","IA",171,"University of Iowa","Iowa City","52242-1316","www.uiowa.edu",41.660695,-91.535698,"0.8095","Public","City","1164",20691,0,1,0,1,1,1,1,1,1,1,2,1,"51500",273.5,7,60.92
"172","TX",172,"Baylor University","Waco","76798","www.baylor.edu",31.545956,-97.119359,"0.5536","Private nonprofit","City","1227",53797,0,1,0,1,1,1,1,1,1,1,1,1,"48000",405.9,29,52.23
"173","MA",173,"Emerson College","Boston","02116-4624","www.emerson.edu",42.35532,-71.074037,"0.4918","Private nonprofit","City","1244",53499,0,0,0,0,1,0,0,0,0,0,1,0,"41800",391.4,16,57.42
"174","MI",174,"Calvin College","Grand Rapids","49546","www.calvin.edu",42.929916,-85.587548,"0.7314","Private nonprofit","City","1182",40694,0,1,0,1,1,1,1,1,1,1,1,1,"40900",427.3,43,44.17
"175","NC",175,"North Carolina State University at Raleigh","Raleigh","27695-7001","www.ncsu.edu",35.785111,-78.674517,"0.516","Public","City","1253",22046,1,1,1,1,1,1,1,1,1,1,1,1,"49200",329.5,30,52.16
"176","IL",176,"Knox College","Galesburg","61401-9999","https://www.knox.edu",40.941829,-90.370316,"0.6824","Private nonprofit","Town","NULL",49190,0,1,0,1,1,0,1,1,1,1,0,1,"35600",370,25,52.6
"177","WA",177,"University of Puget Sound","Tacoma","98416","www.pugetsound.edu",47.263651,-122.479714,"0.7929","Private nonprofit","City","1230",55948,0,0,0,1,1,0,1,1,1,1,1,1,"46400",285.2,12,59.26
"178","MD",178,"Loyola University Maryland","Baltimore","21210-2699","www.loyola.edu",39.346044,-76.623417,"0.5963","Private nonprofit","City","NULL",57775,0,0,0,1,1,1,1,1,1,1,1,1,"61700",446.1,23,55.14
"179","CA",179,"University of Redlands","Redlands","92373-0999","www.redlands.edu",34.063571,-117.163847,"0.7309","Private nonprofit","City","1110",57347,0,1,0,1,1,0,1,1,1,1,1,1,"47900",396.1,10,59.96
"180","NY",180,"Yeshiva University","New York","10033-3299","www.yu.edu",40.8508,-73.928541,"0.818","Private nonprofit","City","1221",55075,0,0,0,1,1,0,1,1,1,1,1,1,"65500",381.8,26,52.54
"181","AL",181,"Auburn University","Auburn","36849","www.auburn.edu",32.604685,-85.482782,"0.8347","Public","City","1215",25282,1,1,1,1,1,1,1,1,1,1,2,1,"46800",427.4,50,34.15
"182","AL",182,"Samford University","Birmingham","35229-2240","www.samford.edu",33.464578,-86.790932,"0.5954","Private nonprofit","Suburb","1165",40900,0,1,0,1,1,1,1,1,1,1,1,1,"49200",427.4,50,34.15
"183","VT",183,"Saint Michael's College","Colchester","05439","www.smcvt.edu",44.494212,-73.163136,"0.8046","Private nonprofit","Suburb","NULL",50806,0,1,0,1,1,1,1,1,1,1,1,1,"45800",99.3,14,58.01
"184","OK",184,"University of Oklahoma-Health Sciences Center","Oklahoma City","73104-5499","ouhsc.edu",35.47928,-97.496289,"NULL","Public","City","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,"52000",406,44,41.36
"185","CA",185,"University of California-Santa Cruz","Santa Cruz","95064-1011","www.ucsc.edu/",36.997258,-122.067993,"0.5572","Public","City","1149",33036,1,1,0,1,1,1,1,1,1,1,1,1,"42400",396.1,10,59.96
"186","NH",186,"University of New Hampshire-School of Law","Concord","03301-4197","law.unh.edu",43.207371,-71.545152,"NULL","Public","Town","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,"97700",196.1,11,59.5
"187","NC",187,"University of North Carolina at Asheville","Asheville","28804-8510","www.unca.edu",35.616618,-82.565259,"0.7314","Public","City","1191",18574,0,1,0,1,0,1,1,1,1,1,1,1,"32200",329.5,30,52.16
"188","OH",188,"University of Dayton","Dayton","45469","https://www.udayton.edu",39.73686,-84.173662,"0.5901","Private nonprofit","City","1194",49540,0,0,0,1,2,1,1,1,1,1,1,1,"50200",284.9,39,46.04
"189","PA",189,"University of Pittsburgh-Bradford","Bradford","16701","www.upb.pitt.edu/",41.944173,-78.673039,"0.6542","Public","Town","985",24809,0,0,0,1,1,1,1,1,1,1,1,0,"51500",314.1,34,49.98
"190","MA",190,"University of Massachusetts-Amherst","Amherst","01003","www.umass.edu",42.386162,-72.52617,"0.6139","Public","Suburb","1217",26207,1,1,1,1,1,1,1,1,1,1,2,1,"46600",391.4,16,57.42
"191","MD",191,"St Mary's College of Maryland","St. Mary's City","20686-3001","www.smcm.edu",38.188615,-76.425706,"0.7887","Public","Suburb","1188",29172,0,0,0,1,0,0,1,1,1,1,0,1,"45200",446.1,23,55.14
"192","FL",192,"New College of Florida","Sarasota","34243-2109","www.ncf.edu",27.384925,-82.55858,"0.5987","Public","City","1274",19858,0,0,0,0,0,0,0,0,0,0,0,0,"PrivacySuppressed",540.5,35,49.14
"193","OK",193,"University of Tulsa","Tulsa","74104-3189","www.utulsa.edu",36.151887,-95.945175,"0.4026","Private nonprofit","City","1296",49323,0,1,0,1,1,1,1,1,1,1,1,1,"50000",406,44,41.36
"194","TX",194,"Texas Christian University","Fort Worth","76129","www.tcu.edu/",32.709568,-97.361537,"0.4887","Private nonprofit","City","1207",50440,1,1,0,1,1,1,1,1,1,1,1,1,"51700",405.9,29,52.23
"195","CA",195,"University of San Diego","San Diego","92110-2492","www.sandiego.edu",32.77142,-117.188721,"0.4625","Private nonprofit","City","1243",57593,0,1,1,1,0,1,1,1,1,1,1,1,"60400",396.1,10,59.96
"196","MA",196,"Stonehill College","Easton","02357-6110","www.stonehill.edu",42.061448,-71.078123,"0.7696","Private nonprofit","Suburb","NULL",51977,0,1,0,1,1,0,1,1,1,1,1,1,"54800",391.4,16,57.42
"197","ID",197,"The College of Idaho","Caldwell","83605-4432","www.collegeofidaho.edu",43.652653,-116.676838,"0.929","Private nonprofit","Suburb","1076",35456,0,1,0,0,1,1,1,1,1,1,1,1,"36300",212.2,6,60.93
"198","NE",198,"Creighton University","Omaha","68178","www.creighton.edu",41.265325,-95.947029,"0.7267","Private nonprofit","City","1200",47780,0,1,0,1,1,0,1,1,1,1,2,1,"59700",280.4,8,60.65
"199","MA",199,"Northeastern University","Boston","02115-5005","www.northeastern.edu",42.339992,-71.088782,"0.3222","Private nonprofit","City","1420",57981,0,1,1,1,0,1,1,1,1,1,1,1,"61900",391.4,16,57.42
"200","MS",200,"University of Mississippi","University","38677-1848","www.olemiss.edu",34.362144,-89.539377,"0.8122","Public","Town","1098",22444,0,0,0,1,1,1,2,1,1,1,2,1,"48000",278.5,48,36.05
"201","NH",201,"Saint Anselm College","Manchester","03102-1310","www.anselm.edu",42.985066,-71.508177,"0.7609","Private nonprofit","Suburb","NULL",49836,0,1,0,1,1,1,1,1,1,1,1,1,"52300",196.1,11,59.5
"202","MO",202,"Saint Louis University","Saint Louis","63103-2097","www.slu.edu",38.636516,-90.23343,"0.6108","Private nonprofit","City","1239",52310,0,1,0,1,1,1,1,1,1,1,2,1,"53700",442.9,42,44.58
"203","OR",203,"University of Oregon","Eugene","97403","www.uoregon.edu",44.044515,-123.07398,"0.749","Public","City","1116",23055,0,1,1,1,1,0,1,1,1,1,1,1,"42300",232.3,32,51.4
"204","AZ",204,"University of Arizona","Tucson","85721-0066","www.arizona.edu",32.232071,-110.950769,"0.7462","Public","City","NULL",24617,1,1,1,1,1,1,1,1,1,1,1,1,"46200",399.9,31,51.51
"205","VA",205,"Hampden-Sydney College","Hampden-Sydney","23943-0128","www.hsc.edu",37.242482,-78.461371,"0.4727","Private nonprofit","Rural","1098",52016,0,0,0,1,0,0,1,1,1,1,1,1,"45700",196.2,21,56.61
"206","NY",206,"Clarkson University","Potsdam","13699","www.clarkson.edu",44.663761,-74.999947,"0.6214","Private nonprofit","Town","1195",57221,0,1,0,1,0,1,1,1,1,1,1,1,"61900",381.8,26,52.54
"207","IA",207,"Luther College","Decorah","52101-1045","www.luther.edu",43.313584,-91.803971,"0.7116","Private nonprofit","Town","1157",48419,0,1,0,1,1,0,1,1,1,1,1,1,"44000",273.5,7,60.92
"208","IN",208,"Butler University","Indianapolis","46208","www.butler.edu",39.840662,-86.171791,"0.6846","Private nonprofit","City","1205",48784,0,0,0,1,1,0,1,1,1,1,1,1,"61100",365.3,40,45.94
"209","NY",209,"United States Merchant Marine Academy","Kings Point","11024-1699","WWW.USMMA.EDU",40.812154,-73.762534,"NULL","Public","Suburb","NULL",8988,0,0,0,0,0,1,0,0,0,0,0,0,"90200",381.8,26,52.54
"210","NY",210,"CUNY City College","New York","10031","www.ccny.cuny.edu",40.819794,-73.95055,"0.3806","Public","City","1130",14824,0,1,1,1,1,1,1,1,1,1,1,1,"42200",381.8,26,52.54
"211","KY",211,"Transylvania University","Lexington","40508-1797","www.transy.edu",38.053236,-84.493883,"0.8262","Private nonprofit","City","1230",43304,0,0,0,1,1,0,1,1,1,1,1,1,"39000",211.6,49,35.08
"212","CA",212,"University of San Francisco","San Francisco","94117-1080","https://www.usfca.edu",37.775564,-122.450977,"0.6005","Private nonprofit","City","1152",58039,0,1,1,1,0,0,1,1,1,2,1,1,"62200",396.1,10,59.96
"213","CA",213,"Saint Mary's College of California","Moraga","94575","www.stmarys-ca.edu",37.83997,-122.106795,"0.7595","Private nonprofit","Rural","1109",58362,0,1,0,0,0,1,1,1,1,1,1,1,"52200",396.1,10,59.96
"214","NY",214,"Manhattan College","Riverdale","10471-4098","www.manhattan.edu",40.889756,-73.901893,"0.6654","Private nonprofit","City","1097",48454,0,0,0,1,1,1,1,1,1,1,1,1,"57800",381.8,26,52.54
"215","IL",215,"Illinois Wesleyan University","Bloomington","61702-2900","www.iwu.edu",40.491522,-88.990622,"0.6043","Private nonprofit","City","1249",50324,0,1,0,1,1,0,1,1,1,1,1,1,"54900",370,25,52.6
"216","DC",216,"Catholic University of America","Washington","20064","www.cua.edu",38.935796,-76.998961,"0.7391","Private nonprofit","City","1130",55995,0,0,1,1,1,1,1,1,1,1,1,1,"51100",1244.4,18,57.01
"217","VA",217,"George Mason University","Fairfax","22030-4444","www.gmu.edu",38.83088,-77.30794,"0.6665","Public","Suburb","1152",23212,0,1,0,2,1,1,1,1,1,1,1,1,"55400",196.2,21,56.61
"218","NE",218,"University of Nebraska-Lincoln","Lincoln","68588","www.unl.edu/",40.822272,-96.702177,"0.6989","Public","City","1146",21286,2,1,1,1,1,1,1,1,1,1,1,1,"44300",280.4,8,60.65
"219","NY",219,"Ithaca College","Ithaca","14850-7002","www.ithaca.edu",42.42264,-76.495057,"0.5911","Private nonprofit","Suburb","NULL",55515,0,1,1,1,1,0,1,1,1,1,1,1,"46900",381.8,26,52.54
"220","WY",220,"University of Wyoming","Laramie","82071","www.uwyo.edu",41.311943,-105.57204,"0.9766","Public","Town","1118",18145,1,1,0,1,1,1,1,1,1,1,1,1,"47000",195.5,13,59.24
"221","CA",221,"San Diego State University","San Diego","92182","www.sdsu.edu",32.77525,-117.071228,"0.3448","Public","City","1115",20631,0,1,0,1,1,1,1,1,1,1,1,1,"46400",396.1,10,59.96
"222","PA",222,"University of Scranton","Scranton","18510-4629","www.scranton.edu",41.40715,-75.658031,"0.7726","Private nonprofit","City","1125",53567,0,1,0,1,1,1,1,1,1,1,1,1,"52000",314.1,34,49.98
"223","MO",223,"Truman State University","Kirksville","63501-4221","www.truman.edu",40.188238,-92.580531,"0.7448","Public","Town","1226",19368,1,0,0,1,0,0,1,1,1,1,1,1,"40900",442.9,42,44.58
"224","OH",224,"Wittenberg University","Springfield","45504","www.wittenberg.edu",39.937463,-83.814082,"0.9138","Private nonprofit","City","NULL",50115,0,1,0,1,1,0,1,1,1,1,1,1,"40600",284.9,39,46.04
"225","IN",225,"Hanover College","Hanover","47243","www.hanover.edu",38.712488,-85.461086,"0.6447","Private nonprofit","Town","1101",43582,0,1,0,1,1,0,1,1,1,1,0,1,"40500",365.3,40,45.94
"226","NJ",226,"Stevens Institute of Technology","Hoboken","07030-5991","www.stevens.edu",40.744776,-74.025334,"0.4378","Private nonprofit","Suburb","1346",59384,0,0,0,1,0,1,1,1,0,1,1,0,"73900",261.2,20,56.82
"227","MA",227,"Springfield College","Springfield","01109-3797","www.springfield.edu/",42.105033,-72.555688,"0.7087","Private nonprofit","City","1025",45887,0,0,0,1,1,0,1,1,1,1,1,1,"42900",391.4,16,57.42
"228","CA",228,"Thomas Aquinas College","Santa Paula","93060","www.thomasaquinas.edu",34.429009,-119.087141,"0.827","Private nonprofit","Rural","1261",35716,0,0,0,0,0,0,0,0,0,0,0,0,"32800",396.1,10,59.96
"229","AL",229,"University of Alabama at Birmingham","Birmingham","35294-0110","www.uab.edu",33.50223,-86.80917,"0.8569","Public","City","1107",20621,0,0,0,1,1,1,1,1,1,1,2,1,"42000",427.4,50,34.15
"230","KS",230,"University of Kansas","Lawrence","66045","www.ku.edu",38.958551,-95.247618,"0.9142","Public","City","1145",23049,0,1,1,1,1,1,1,1,1,1,1,1,"48900",348.6,24,54.55
"231","WA",231,"Whitworth University","Spokane","99251","www.whitworth.edu",47.753699,-117.418078,"0.7476","Private nonprofit","Suburb","NULL",47538,0,0,0,1,1,0,1,1,1,1,1,1,"39400",285.2,12,59.26
"232","IA",232,"Iowa State University","Ames","50011-2030","www.iastate.edu",42.026368,-93.648353,"0.8691","Public","City","1145",18828,1,1,1,1,1,1,1,1,1,1,1,1,"47600",273.5,7,60.92
"233","IL",233,"Bradley University","Peoria","61625-0001","www.bradley.edu",40.697605,-89.61462,"0.643","Private nonprofit","City","1162",42090,0,1,0,1,1,1,1,1,1,1,1,1,"48900",370,25,52.6
"234","IN",234,"Valparaiso University","Valparaiso","46383","www.valpo.edu",41.463176,-87.045853,"0.8236","Private nonprofit","Suburb","1155",44674,0,1,0,1,1,1,1,1,1,1,1,1,"45100",365.3,40,45.94
"235","WA",235,"Seattle University","Seattle","98122-4340","www.seattleu.edu",47.610138,-122.3197,"0.7335","Private nonprofit","City","1183",52458,0,1,0,1,1,1,1,1,1,1,1,1,"52700",285.2,12,59.26
"236","MI",236,"Albion College","Albion","49224","www.albion.edu",42.244603,-84.746088,"0.6079","Private nonprofit","Town","1125",48073,0,0,0,0,1,0,1,1,1,1,1,1,"44200",427.3,43,44.17
"237","TX",237,"Southwestern University","Georgetown","78626","www.southwestern.edu",30.635194,-97.664637,"0.4852","Private nonprofit","Suburb","1159",48080,0,1,0,1,1,0,1,1,1,1,1,1,"49800",405.9,29,52.23
"238","IL",238,"Illinois Institute of Technology","Chicago","60616","www.iit.edu",41.833801,-87.628346,"0.506","Private nonprofit","City","1266",51572,0,0,1,1,0,1,1,1,1,1,1,0,"66500",370,25,52.6
"239","FL",239,"Rollins College","Winter Park","32789-4499","www.rollins.edu",28.591992,-81.348716,"0.5729","Private nonprofit","Suburb","NULL",57686,0,1,0,1,1,0,1,1,1,1,1,1,"44200",540.5,35,49.14
"240","TN",240,"The University of Tennessee-Knoxville","Knoxville","37996","www.utk.edu",35.955093,-83.929696,"0.7483","Public","City","1198",27450,1,1,1,1,1,1,1,1,1,1,1,1,"47600",608.4,45,39.96
"241","SC",241,"Presbyterian College","Clinton","29325","https://www.presby.edu",34.465697,-81.874408,"0.5372","Private nonprofit","Town","1090",46378,0,0,0,1,1,0,1,1,1,1,1,1,"41300",497.7,38,47.06
"242","AR",242,"University of Arkansas","Fayetteville","72701","www.uark.edu",36.06153,-94.178214,"0.6204","Public","City","1155",20350,1,1,1,1,1,1,1,1,1,1,2,1,"44500",480.1,47,38.22
"243","CA",243,"University of California-Riverside","Riverside","92521","WWW.UCR.EDU",33.97588,-117.331098,"0.5829","Public","City","1128",30174,0,1,0,1,0,1,1,1,1,1,1,1,"43500",396.1,10,59.96
"244","IN",244,"Taylor University","Upland","46989-1001","https://www.taylor.edu",40.458382,-85.496906,"0.8803","Private nonprofit","Town","1184",39699,0,1,0,1,1,1,1,1,1,1,2,1,"36000",365.3,40,45.94
"245","SC",245,"Citadel Military College of South Carolina","Charleston","29409","www.citadel.edu",32.796975,-79.961399,"0.7554","Public","City","1073",25442,0,0,0,1,1,1,1,1,1,1,1,1,"50000",497.7,38,47.06
"246","AR",246,"Imagine-Paul Mitchell Partner School","North Little Rock","72117","www.pmlittlerock.com",34.791306,-92.221304,"NULL","Private for-profit","City","NULL",NA,0,0,0,0,0,0,0,0,0,0,0,0,"PrivacySuppressed",480.1,47,38.22
"247","NJ",247,"Drew University","Madison","07940","www.drew.edu",40.757026,-74.425825,"0.7017","Private nonprofit","Suburb","1118",58700,0,1,0,1,0,0,1,1,1,1,1,1,"45800",261.2,20,56.82
"248","VA",248,"University of Mary Washington","Fredericksburg","22401-5300","www.umw.edu",38.302206,-77.474392,"0.7672","Public","Suburb","1114",23371,0,0,0,1,0,0,1,1,1,1,1,1,"46700",196.2,21,56.61
"249","TX",249,"University of Dallas","Irving","75062-4736","www.udallas.edu",32.846202,-96.921573,"0.8513","Private nonprofit","City","1211",48274,0,0,0,1,1,0,1,1,1,1,1,1,"44600",405.9,29,52.23
"250","NY",250,"CUNY Queens College","Queens","11367","www.qc.cuny.edu",40.737771,-73.815387,"0.3982","Public","City","1090",14465,0,1,0,1,1,0,1,1,1,1,1,1,"44600",381.8,26,52.54
"251","AZ",251,"Arizona State University-Tempe","Tempe","85287","www.asu.edu/",33.422247,-111.934629,"0.8433","Public","City","1145",22312,0,1,1,1,1,1,1,1,1,2,1,1,"46600",399.9,31,51.51
"252","IL",252,"Loyola University Chicago","Chicago","60660","www.luc.edu",41.999161,-87.657399,"0.6334","Private nonprofit","City","1212",48958,0,1,0,2,1,0,1,1,2,1,2,1,"51800",370,25,52.6
"253","IL",253,"DePaul University","Chicago","60604","www.depaul.edu",41.923332,-87.654116,"0.6988","Private nonprofit","City","NULL",48173,0,1,1,2,1,0,1,1,1,1,1,1,"49700",370,25,52.6
