State,Rank,Name,City,Zip,URL,Latitude,Longitude,ADMrate,Ownership,Citytype,SAT,AvgCost,Major_agriculture,Major_NatureResource,Major_Architecture,Major_CS,Major_Edu,Major_Engineering,Major_Bio,Major_MathStat,Major_Psychology,Major_SocialScience,Major_Business,Major_History,Earn,CrimeRate,HappyRank,HappyScore
IN,142,Wabash College,Crawfordsville,47933-0352,www.wabash.edu,40.037799,-86.905809,0.6998,2,32,1128,3261,0,0,0,0,0,0,1,1,1,1,0,1,51300,365.3,40,45.94
NY,143,St Lawrence University,Canton,13617,www.stlawu.edu,44.589879,-75.161343,0.4764,2,33,NULL,3499,0,1,0,1,0,0,1,1,1,1,1,1,47800,381.8,26,52.54
ME,144,College of the Atlantic,Bar Harbor,04609,www.coa.edu,44.399584,-68.228849,0.711,2,33,NULL,3351,0,0,0,0,0,0,0,0,0,0,0,0,22400,127.8,33,51.32
MI,145,Hope College,Holland,49422-9000,www.hope.edu,42.788052,-86.105376,0.7741,2,13,1185,3024,0,0,0,1,1,1,1,1,1,1,1,1,41900,427.3,43,44.17
OR,146,Lewis & Clark College,Portland,97219-7899,www.lclark.edu/,45.450547,-122.672478,0.6662,2,11,NULL,3434,0,1,0,1,0,0,1,1,1,1,0,1,42300,232.3,32,51.4
WI,147,Marquette University,Milwaukee,53233,www.marquette.edu,43.03903,-87.927961,0.6671,2,11,1220,3312,0,0,0,1,1,1,1,1,1,1,1,1,59500,290.3,15,57.8
CA,148,Westmont College,Santa Barbara,93108-1089,www.westmont.edu,34.449265,-119.661932,0.7936,2,22,1175,3415,0,0,0,1,0,1,1,1,1,1,1,1,43600,396.1,10,59.96
UT,149,University of Utah,Salt Lake City,84112-9008,www.utah.edu,40.762484,-111.846044,0.8142,1,12,1131,1232,0,1,1,1,1,1,1,1,1,1,1,1,51800,215.6,1,71.02
AZ,150,Arizona State University-Tempe,Tempe,85287,www.asu.edu/,33.422247,-111.934629,0.8433,1,12,1145,1619,0,1,1,1,1,1,1,1,1,2,1,1,46600,399.9,31,51.51
AR,151,Hendrix College,Conway,72032-3080,www.hendrix.edu,35.09972,-92.442021,0.8282,2,13,1244,3403,0,1,0,1,0,0,1,1,1,1,1,1,36500,480.1,47,38.22
CA,152,University of California-Irvine,Irvine,92697,www.uci.edu/,33.648434,-117.841248,0.3742,1,12,1168,2514,0,1,1,1,1,1,1,1,1,1,1,1,51500,396.1,10,59.96
VA,153,Virginia Military Institute,Lexington,24450-0304,www.vmi.edu,37.790644,-79.435737,0.444,1,32,1162,2037,0,0,0,1,0,1,1,1,1,1,0,1,53900,196.2,21,56.61
PA,154,Pennsylvania State University-Dickinson Law,Carlisle,17013-2861,law.psu.edu/,40.199443,-77.197794,NULL,1,13,NULL,3784,0,0,0,0,0,0,0,0,0,0,0,0,47600,314.1,34,49.98
CT,155,Fairfield University,Fairfield,06824-5195,fairfield.edu/,41.160732,-73.25778,0.7153,2,21,NULL,3474,0,0,0,1,1,1,1,1,1,1,1,1,64600,236.9,17,57.04
MA,156,Worcester Polytechnic Institute,Worcester,01609-2280,www.wpi.edu,42.275067,-71.808792,0.4378,2,12,NULL,3466,0,0,0,1,0,1,1,1,1,1,1,0,72900,391.4,16,57.42
CA,157,California Polytechnic State University-San Luis Obispo,San Luis Obispo,93407,calpoly.edu,35.29889,-120.65856,0.3089,1,23,1234,1870,1,1,1,1,1,1,1,1,1,1,1,1,59900,396.1,10,59.96
SC,158,Clemson University,Clemson,29634,www.clemson.edu,34.677329,-82.834463,0.5152,1,21,1261,2090,1,1,1,1,1,2,1,1,1,1,1,1,48700,497.7,38,47.06
NC,159,Elon University,Elon,27244-2010,www.elon.edu,36.104149,-79.505632,0.5393,2,22,1225,3166,0,1,0,1,1,1,1,1,1,1,1,1,47500,329.5,30,52.16
LA,160,Louisiana State University Health Sciences Center-New Orleans,New Orleans,70112-2223,www.lsuhsc.edu,29.957272,-90.083145,NULL,1,11,NULL,3784,0,0,0,0,0,0,0,0,0,0,0,0,83000,514.7,46,39.03
PA,161,Juniata College,Huntingdon,16652-2196,www.juniata.edu,40.499511,-78.015204,0.7417,2,32,NULL,3333,0,1,0,1,1,1,1,1,1,1,1,1,47300,314.1,34,49.98
MN,162,Gustavus Adolphus College,Saint Peter,56082-1498,WWW.GUSTAVUS.EDU,44.324968,-93.971928,0.6107,2,31,NULL,3353,0,1,0,1,1,0,1,1,1,1,1,1,47600,229.1,2,69.09
VA,163,James Madison University,Harrisonburg,22807,www.jmu.edu/,38.435332,-78.871663,0.6573,1,13,1153,1657,0,0,0,1,0,1,1,1,1,1,1,1,53100,196.2,21,56.61
PA,164,Ursinus College,Collegeville,19426-1000,www.ursinus.edu,40.19405,-75.455654,0.8316,2,21,NULL,3487,0,1,0,1,0,1,1,1,1,1,1,1,51300,314.1,34,49.98
FL,165,Florida State University,Tallahassee,32306-1037,www.fsu.edu,30.4421,-84.294801,0.5539,1,12,1228,1509,0,1,0,1,1,1,1,1,1,1,1,1,44700,540.5,35,49.14
MA,166,Bentley University,Waltham,02452-4705,www.bentley.edu,42.388798,-71.220148,0.4611,2,13,1247,3448,0,0,0,1,0,0,0,1,0,0,1,1,75600,391.4,16,57.42
NJ,167,Ramapo College of New Jersey,Mahwah,07430-1680,www.ramapo.edu,41.007523,-74.116384,0.5332,1,21,1082,2263,0,1,0,1,0,0,1,1,1,1,1,1,48200,261.2,20,56.82
WA,168,Gonzaga University,Spokane,99258-0001,www.gonzaga.edu,47.668144,-117.403062,0.6751,2,12,1207,3311,0,1,0,1,1,1,1,1,1,1,1,1,52200,285.2,12,59.26
OR,169,University of Portland,Portland,97203-5798,www.up.edu,45.571807,-122.726859,0.6293,2,11,1195,3391,0,1,0,1,1,1,1,1,1,1,1,1,53800,232.3,32,51.4
IN,170,Rose-Hulman Institute of Technology,Terre Haute,47803-3920,www.rose-hulman.edu,39.480946,-87.32357,0.5879,2,13,1308,3451,0,0,0,1,0,1,1,1,0,1,0,0,73500,365.3,40,45.94
IA,171,University of Iowa,Iowa City,52242-1316,www.uiowa.edu,41.660695,-91.535698,0.8095,1,13,1164,1413,0,1,0,1,1,1,1,1,1,1,2,1,51500,273.5,7,60.92
TX,172,Baylor University,Waco,76798,www.baylor.edu,31.545956,-97.119359,0.5536,2,12,1227,3416,0,1,0,1,1,1,1,1,1,1,1,1,48000,405.9,29,52.23
MA,173,Emerson College,Boston,02116-4624,www.emerson.edu,42.35532,-71.074037,0.4918,2,11,1244,3411,0,0,0,0,1,0,0,0,0,0,1,0,41800,391.4,16,57.42
MI,174,Calvin College,Grand Rapids,49546,www.calvin.edu,42.929916,-85.587548,0.7314,2,12,1182,3057,0,1,0,1,1,1,1,1,1,1,1,1,40900,427.3,43,44.17
NC,175,North Carolina State University at Raleigh,Raleigh,27695-7001,www.ncsu.edu,35.785111,-78.674517,0.516,1,11,1253,1598,1,1,1,1,1,1,1,1,1,1,1,1,49200,329.5,30,52.16
IL,176,Knox College,Galesburg,61401-9999,https://www.knox.edu,40.941829,-90.370316,0.6824,2,32,NULL,3336,0,1,0,1,1,0,1,1,1,1,0,1,35600,370.0,25,52.6
WA,177,University of Puget Sound,Tacoma,98416,www.pugetsound.edu,47.263651,-122.479714,0.7929,2,12,1230,3439,0,0,0,1,1,0,1,1,1,1,1,1,46400,285.2,12,59.26
MD,178,Loyola University Maryland,Baltimore,21210-2699,www.loyola.edu,39.346044,-76.623417,0.5963,2,11,NULL,3471,0,0,0,1,1,1,1,1,1,1,1,1,61700,446.1,23,55.14
CA,179,University of Redlands,Redlands,92373-0999,www.redlands.edu,34.063571,-117.163847,0.7309,2,13,1110,3454,0,1,0,1,1,0,1,1,1,1,1,1,47900,396.1,10,59.96
NY,180,Yeshiva University,New York,10033-3299,www.yu.edu,40.8508,-73.928541,0.818,2,11,1221,3425,0,0,0,1,1,0,1,1,1,1,1,1,65500,381.8,26,52.54
AL,181,Auburn University,Auburn,36849,www.auburn.edu,32.604685,-85.482782,0.8347,1,13,1215,1994,1,1,1,1,1,1,1,1,1,1,2,1,46800,427.4,50,34.15
AL,182,Samford University,Birmingham,35229-2240,www.samford.edu,33.464578,-86.790932,0.5954,2,21,1165,3070,0,1,0,1,1,1,1,1,1,1,1,1,49200,427.4,50,34.15
VT,183,Saint Michael's College,Colchester,05439,www.smcvt.edu,44.494212,-73.163136,0.8046,2,22,NULL,3370,0,1,0,1,1,1,1,1,1,1,1,1,45800,99.3,14,58.01
OK,184,University of Oklahoma-Health Sciences Center,Oklahoma City,73104-5499,ouhsc.edu,35.47928,-97.496289,NULL,1,11,NULL,3784,0,0,0,0,0,0,0,0,0,0,0,0,52000,406.0,44,41.36
CA,185,University of California-Santa Cruz,Santa Cruz,95064-1011,www.ucsc.edu/,36.997258,-122.067993,0.5572,1,13,1149,2725,1,1,0,1,1,1,1,1,1,1,1,1,42400,396.1,10,59.96
NH,186,University of New Hampshire-School of Law,Concord,03301-4197,law.unh.edu,43.207371,-71.545152,NULL,1,31,NULL,3784,0,0,0,0,0,0,0,0,0,0,0,0,97700,196.1,11,59.5
NC,187,University of North Carolina at Asheville,Asheville,28804-8510,www.unca.edu,35.616618,-82.565259,0.7314,1,13,1191,1194,0,1,0,1,0,1,1,1,1,1,1,1,32200,329.5,30,52.16
OH,188,University of Dayton,Dayton,45469,https://www.udayton.edu,39.73686,-84.173662,0.5901,2,12,1194,3343,0,0,0,1,2,1,1,1,1,1,1,1,50200,284.9,39,46.04
PA,189,University of Pittsburgh-Bradford,Bradford,16701,www.upb.pitt.edu/,41.944173,-78.673039,0.6542,1,33,985,1938,0,0,0,1,1,1,1,1,1,1,1,0,51500,314.1,34,49.98
MA,190,University of Massachusetts-Amherst,Amherst,01003,www.umass.edu,42.386162,-72.52617,0.6139,1,21,1217,2108,1,1,1,1,1,1,1,1,1,1,2,1,46600,391.4,16,57.42
MD,191,St Mary's College of Maryland,St. Mary's City,20686-3001,www.smcm.edu,38.188615,-76.425706,0.7887,1,23,1188,2468,0,0,0,1,0,0,1,1,1,1,0,1,45200,446.1,23,55.14
FL,192,New College of Florida,Sarasota,34243-2109,www.ncf.edu,27.384925,-82.55858,0.5987,1,13,1274,1328,0,0,0,0,0,0,0,0,0,0,0,0,PrivacySuppressed,540.5,35,49.14
OK,193,University of Tulsa,Tulsa,74104-3189,www.utulsa.edu,36.151887,-95.945175,0.4026,2,11,1296,3338,0,1,0,1,1,1,1,1,1,1,1,1,50000,406.0,44,41.36
TX,194,Texas Christian University,Fort Worth,76129,www.tcu.edu/,32.709568,-97.361537,0.4887,2,11,1207,3362,1,1,0,1,1,1,1,1,1,1,1,1,51700,405.9,29,52.23
CA,195,University of San Diego,San Diego,92110-2492,www.sandiego.edu,32.77142,-117.188721,0.4625,2,11,1243,3465,0,1,1,1,0,1,1,1,1,1,1,1,60400,396.1,10,59.96
MA,196,Stonehill College,Easton,02357-6110,www.stonehill.edu,42.061448,-71.078123,0.7696,2,21,NULL,3392,0,1,0,1,1,0,1,1,1,1,1,1,54800,391.4,16,57.42
ID,197,The College of Idaho,Caldwell,83605-4432,www.collegeofidaho.edu,43.652653,-116.676838,0.929,2,22,1076,2847,0,1,0,0,1,1,1,1,1,1,1,1,36300,212.2,6,60.93
NE,198,Creighton University,Omaha,68178,www.creighton.edu,41.265325,-95.947029,0.7267,2,11,1200,3293,0,1,0,1,1,0,1,1,1,1,2,1,59700,280.4,8,60.65
MA,199,Northeastern University,Boston,02115-5005,www.northeastern.edu,42.339992,-71.088782,0.3222,2,11,1420,3475,0,1,1,1,0,1,1,1,1,1,1,1,61900,391.4,16,57.42
MS,200,University of Mississippi,University,38677-1848,www.olemiss.edu,34.362144,-89.539377,0.8122,1,33,1098,1634,0,0,0,1,1,1,2,1,1,1,2,1,48000,278.5,48,36.05
NH,201,Saint Anselm College,Manchester,03102-1310,www.anselm.edu,42.985066,-71.508177,0.7609,2,22,NULL,3350,0,1,0,1,1,1,1,1,1,1,1,1,52300,196.1,11,59.5
MO,202,Saint Louis University,Saint Louis,63103-2097,www.slu.edu,38.636516,-90.23343,0.6108,2,11,1239,3396,0,1,0,1,1,1,1,1,1,1,2,1,53700,442.9,42,44.58
OR,203,University of Oregon,Eugene,97403,www.uoregon.edu,44.044515,-123.07398,0.749,1,12,1116,1707,0,1,1,1,1,0,1,1,1,1,1,1,42300,232.3,32,51.4
AZ,204,University of Arizona,Tucson,85721-0066,www.arizona.edu,32.232071,-110.950769,0.7462,1,11,NULL,1922,1,1,1,1,1,1,1,1,1,1,1,1,46200,399.9,31,51.51
VA,205,Hampden-Sydney College,Hampden-Sydney,23943-0128,www.hsc.edu,37.242482,-78.461371,0.4727,2,42,1098,3393,0,0,0,1,0,0,1,1,1,1,1,1,45700,196.2,21,56.61
NY,206,Clarkson University,Potsdam,13699,www.clarkson.edu,44.663761,-74.999947,0.6214,2,33,1195,3452,0,1,0,1,0,1,1,1,1,1,1,1,61900,381.8,26,52.54
IA,207,Luther College,Decorah,52101-1045,www.luther.edu,43.313584,-91.803971,0.7116,2,33,1157,3317,0,1,0,1,1,0,1,1,1,1,1,1,44000,273.5,7,60.92
IN,208,Butler University,Indianapolis,46208,www.butler.edu,39.840662,-86.171791,0.6846,2,11,1205,3325,0,0,0,1,1,0,1,1,1,1,1,1,61100,365.3,40,45.94
NY,209,United States Merchant Marine Academy,Kings Point,11024-1699,WWW.USMMA.EDU,40.812154,-73.762534,NULL,1,21,NULL,3687,0,0,0,0,0,1,0,0,0,0,0,0,90200,381.8,26,52.54
NY,210,CUNY City College,New York,10031,www.ccny.cuny.edu,40.819794,-73.95055,0.3806,1,11,1130,811,0,1,1,1,1,1,1,1,1,1,1,1,42200,381.8,26,52.54
KY,211,Transylvania University,Lexington,40508-1797,www.transy.edu,38.053236,-84.493883,0.8262,2,11,1230,3162,0,0,0,1,1,0,1,1,1,1,1,1,39000,211.6,49,35.08
CA,212,University of San Francisco,San Francisco,94117-1080,https://www.usfca.edu,37.775564,-122.450977,0.6005,2,11,1152,3477,0,1,1,1,0,0,1,1,1,2,1,1,62200,396.1,10,59.96
CA,213,Saint Mary's College of California,Moraga,94575,www.stmarys-ca.edu,37.83997,-122.106795,0.7595,2,41,1109,3483,0,1,0,0,0,1,1,1,1,1,1,1,52200,396.1,10,59.96
NY,214,Manhattan College,Riverdale,10471-4098,www.manhattan.edu,40.889756,-73.901893,0.6654,2,11,1097,3319,0,0,0,1,1,1,1,1,1,1,1,1,57800,381.8,26,52.54
IL,215,Illinois Wesleyan University,Bloomington,61702-2900,www.iwu.edu,40.491522,-88.990622,0.6043,2,13,1249,3356,0,1,0,1,1,0,1,1,1,1,1,1,54900,370.0,25,52.6
DC,216,Catholic University of America,Washington,20064,www.cua.edu,38.935796,-76.998961,0.7391,2,11,1130,3440,0,0,1,1,1,1,1,1,1,1,1,1,51100,1244.4,18,57.01
VA,217,George Mason University,Fairfax,22030-4444,www.gmu.edu,38.83088,-77.30794,0.6665,1,21,1152,1733,0,1,0,2,1,1,1,1,1,1,1,1,55400,196.2,21,56.61
NE,218,University of Nebraska-Lincoln,Lincoln,68588,www.unl.edu/,40.822272,-96.702177,0.6989,1,11,1146,1495,2,1,1,1,1,1,1,1,1,1,1,1,44300,280.4,8,60.65
NY,219,Ithaca College,Ithaca,14850-7002,www.ithaca.edu,42.42264,-76.495057,0.5911,2,23,NULL,3433,0,1,1,1,1,0,1,1,1,1,1,1,46900,381.8,26,52.54
WY,220,University of Wyoming,Laramie,82071,www.uwyo.edu,41.311943,-105.57204,0.9766,1,33,1118,1149,1,1,0,1,1,1,1,1,1,1,1,1,47000,195.5,13,59.24
CA,221,San Diego State University,San Diego,92182,www.sdsu.edu,32.77525,-117.071228,0.3448,1,11,1115,1408,0,1,0,1,1,1,1,1,1,1,1,1,46400,396.1,10,59.96
PA,222,University of Scranton,Scranton,18510-4629,www.scranton.edu,41.40715,-75.658031,0.7726,2,13,1125,3414,0,1,0,1,1,1,1,1,1,1,1,1,52000,314.1,34,49.98
MO,223,Truman State University,Kirksville,63501-4221,www.truman.edu,40.188238,-92.580531,0.7448,1,33,1226,1278,1,0,0,1,0,0,1,1,1,1,1,1,40900,442.9,42,44.58
OH,224,Wittenberg University,Springfield,45504,www.wittenberg.edu,39.937463,-83.814082,0.9138,2,13,NULL,3354,0,1,0,1,1,0,1,1,1,1,1,1,40600,284.9,39,46.04
IN,225,Hanover College,Hanover,47243,www.hanover.edu,38.712488,-85.461086,0.6447,2,32,1101,3174,0,1,0,1,1,0,1,1,1,1,0,1,40500,365.3,40,45.94
NJ,226,Stevens Institute of Technology,Hoboken,07030-5991,www.stevens.edu,40.744776,-74.025334,0.4378,2,21,1346,3496,0,0,0,1,0,1,1,1,0,1,1,0,73900,261.2,20,56.82
MA,227,Springfield College,Springfield,01109-3797,www.springfield.edu/,42.105033,-72.555688,0.7087,2,12,1025,3237,0,0,0,1,1,0,1,1,1,1,1,1,42900,391.4,16,57.42
CA,228,Thomas Aquinas College,Santa Paula,93060,www.thomasaquinas.edu,34.429009,-119.087141,0.827,2,42,1261,2858,0,0,0,0,0,0,0,0,0,0,0,0,32800,396.1,10,59.96
AL,229,University of Alabama at Birmingham,Birmingham,35294-0110,www.uab.edu,33.50223,-86.80917,0.8569,1,12,1107,1407,0,0,0,1,1,1,1,1,1,1,2,1,42000,427.4,50,34.15
KS,230,University of Kansas,Lawrence,66045,www.ku.edu,38.958551,-95.247618,0.9142,1,13,1145,1704,0,1,1,1,1,1,1,1,1,1,1,1,48900,348.6,24,54.55
WA,231,Whitworth University,Spokane,99251,www.whitworth.edu,47.753699,-117.418078,0.7476,2,21,NULL,3287,0,0,0,1,1,0,1,1,1,1,1,1,39400,285.2,12,59.26
IA,232,Iowa State University,Ames,50011-2030,www.iastate.edu,42.026368,-93.648353,0.8691,1,13,1145,1223,1,1,1,1,1,1,1,1,1,1,1,1,47600,273.5,7,60.92
IL,233,Bradley University,Peoria,61625-0001,www.bradley.edu,40.697605,-89.61462,0.643,2,12,1162,3111,0,1,0,1,1,1,1,1,1,1,1,1,48900,370.0,25,52.6
IN,234,Valparaiso University,Valparaiso,46383,www.valpo.edu,41.463176,-87.045853,0.8236,2,21,1155,3206,0,1,0,1,1,1,1,1,1,1,1,1,45100,365.3,40,45.94
WA,235,Seattle University,Seattle,98122-4340,www.seattleu.edu,47.610138,-122.3197,0.7335,2,11,1183,3400,0,1,0,1,1,1,1,1,1,1,1,1,52700,285.2,12,59.26
MI,236,Albion College,Albion,49224,www.albion.edu,42.244603,-84.746088,0.6079,2,31,1125,3303,0,0,0,0,1,0,1,1,1,1,1,1,44200,427.3,43,44.17
TX,237,Southwestern University,Georgetown,78626,www.southwestern.edu,30.635194,-97.664637,0.4852,2,21,1159,3304,0,1,0,1,1,0,1,1,1,1,1,1,49800,405.9,29,52.23
IL,238,Illinois Institute of Technology,Chicago,60616,www.iit.edu,41.833801,-87.628346,0.506,2,11,1266,3380,0,0,1,1,0,1,1,1,1,1,1,0,66500,370.0,25,52.6
FL,239,Rollins College,Winter Park,32789-4499,www.rollins.edu,28.591992,-81.348716,0.5729,2,21,NULL,3467,0,1,0,1,1,0,1,1,1,1,1,1,44200,540.5,35,49.14
TN,240,The University of Tennessee-Knoxville,Knoxville,37996,www.utk.edu,35.955093,-83.929696,0.7483,1,12,1198,2245,1,1,1,1,1,1,1,1,1,1,1,1,47600,608.4,45,39.96
SC,241,Presbyterian College,Clinton,29325,https://www.presby.edu,34.465697,-81.874408,0.5372,2,32,1090,3257,0,0,0,1,1,0,1,1,1,1,1,1,41300,497.7,38,47.06
AR,242,University of Arkansas,Fayetteville,72701,www.uark.edu,36.06153,-94.178214,0.6204,1,13,1155,1378,1,1,1,1,1,1,1,1,1,1,2,1,44500,480.1,47,38.22
CA,243,University of California-Riverside,Riverside,92521,WWW.UCR.EDU,33.97588,-117.331098,0.5829,1,11,1128,2540,0,1,0,1,0,1,1,1,1,1,1,1,43500,396.1,10,59.96
IN,244,Taylor University,Upland,46989-1001,https://www.taylor.edu,40.458382,-85.496906,0.8803,2,32,1184,3015,0,1,0,1,1,1,1,1,1,1,2,1,36000,365.3,40,45.94
SC,245,Citadel Military College of South Carolina,Charleston,29409,www.citadel.edu,32.796975,-79.961399,0.7554,1,12,1073,2016,0,0,0,1,1,1,1,1,1,1,1,1,50000,497.7,38,47.06
AR,246,Imagine-Paul Mitchell Partner School,North Little Rock,72117,www.pmlittlerock.com,34.791306,-92.221304,NULL,3,13,NULL,3784,0,0,0,0,0,0,0,0,0,0,0,0,PrivacySuppressed,480.1,47,38.22
NJ,247,Drew University,Madison,07940,www.drew.edu,40.757026,-74.425825,0.7017,2,21,1118,3488,0,1,0,1,0,0,1,1,1,1,1,1,45800,261.2,20,56.82
VA,248,University of Mary Washington,Fredericksburg,22401-5300,www.umw.edu,38.302206,-77.474392,0.7672,1,22,1114,1757,0,0,0,1,0,0,1,1,1,1,1,1,46700,196.2,21,56.61
TX,249,University of Dallas,Irving,75062-4736,www.udallas.edu,32.846202,-96.921573,0.8513,2,12,1211,3309,0,0,0,1,1,0,1,1,1,1,1,1,44600,405.9,29,52.23
NY,250,CUNY Queens College,Queens,11367,www.qc.cuny.edu,40.737771,-73.815387,0.3982,1,11,1090,765,0,1,0,1,1,0,1,1,1,1,1,1,44600,381.8,26,52.54
AZ,251,Arizona State University-Tempe,Tempe,85287,www.asu.edu/,33.422247,-111.934629,0.8433,1,12,1145,1619,0,1,1,1,1,1,1,1,1,2,1,1,46600,399.9,31,51.51
IL,252,Loyola University Chicago,Chicago,60660,www.luc.edu,41.999161,-87.657399,0.6334,2,11,1212,3330,0,1,0,2,1,0,1,1,2,1,2,1,51800,370.0,25,52.6
IL,253,DePaul University,Chicago,60604,www.depaul.edu,41.923332,-87.654116,0.6988,2,11,NULL,3307,0,1,1,2,1,0,1,1,1,1,1,1,49700,370.0,25,52.6
TX,254,Austin College,Sherman,75090-4400,www.austincollege.edu,33.646307,-96.598772,0.5438,2,13,1159,3283,0,1,0,1,0,0,1,1,1,1,1,1,43900,405.9,29,52.23
PA,255,Washington & Jefferson College,Washington,15301,www.washjeff.edu,40.171898,-80.240388,0.4165,2,21,NULL,3378,0,1,0,1,1,0,1,1,1,1,1,1,48200,314.1,34,49.98
OH,256,John Carroll University,University Heights,44118-4581,sites.jcu.edu/,41.488978,-81.533103,0.8291,2,21,1116,3270,0,1,0,1,1,1,1,1,1,1,1,1,48300,284.9,39,46.04
RI,257,Bryant University,Smithfield,02917-1291,www.bryant.edu,41.920149,-71.539147,0.7508,2,21,NULL,3402,0,1,0,1,0,0,1,1,1,1,1,1,60300,219.2,27,52.37
PA,258,Allegheny College,Meadville,16335-3902,www.allegheny.edu,41.648068,-80.146922,0.7177,2,32,1170,3388,0,1,0,1,0,1,1,1,1,1,0,1,44800,314.1,34,49.98
MD,259,Goucher College,Baltimore,21204-2794,www.goucher.edu,39.410175,-76.594843,0.7569,2,13,NULL,3401,0,1,0,1,1,0,1,1,1,1,1,1,42400,446.1,23,55.14
GA,260,Agnes Scott College,Decatur,30030-3770,www.agnesscott.edu,33.769996,-84.29563,0.6772,2,21,NULL,3246,0,0,0,0,0,0,1,1,1,1,1,1,39600,377.3,37,47.43
NY,261,CUNY Brooklyn College,Brooklyn,11210,www.brooklyn.cuny.edu,40.631912,-73.95312,0.3533,1,11,1085,844,0,1,0,1,1,0,1,1,1,1,1,1,41400,381.8,26,52.54
GA,262,Spelman College,Atlanta,30314-4399,www.spelman.edu,33.74519,-84.410118,0.54,2,11,1005,3136,0,1,0,1,1,1,1,1,1,1,0,1,41800,377.3,37,47.43
NY,263,CUNY Hunter College,New York,10065,www.hunter.cuny.edu,40.768669,-73.964795,0.3467,1,11,1160,856,0,1,0,1,1,0,1,1,1,1,1,1,43100,381.8,26,52.54
NE,264,Nebraska Wesleyan University,Lincoln,68504-2794,www.nebrwesleyan.edu/,40.838789,-96.648414,0.7814,2,11,1124,2975,0,0,0,1,1,0,1,1,1,1,1,1,43100,280.4,8,60.65
MD,265,Washington College,Chestertown,21620-1438,www.washcoll.edu,39.217329,-76.06878,0.5566,2,32,NULL,3418,0,1,0,1,0,0,1,1,1,1,1,1,46700,446.1,23,55.14
PA,266,Duquesne University,Pittsburgh,15282,www.duq.edu,40.437496,-79.993046,0.7306,2,11,1144,3186,0,1,0,2,1,0,1,1,1,1,2,1,60300,314.1,34,49.98
WA,267,Seattle Pacific University,Seattle,98119-1997,www.spu.edu,47.649338,-122.362923,0.834,2,11,1140,3282,0,0,0,1,1,1,1,1,1,1,1,1,44000,285.2,12,59.26
NY,268,Siena College,Loudonville,12211-1462,www.siena.edu,42.718586,-73.75153,0.6586,2,21,1127,3277,0,0,0,1,0,0,1,1,1,1,1,1,50500,381.8,26,52.54
CO,269,Colorado State University-Fort Collins,Fort Collins,80523-0100,www.colostate.edu,40.574759,-105.08083,0.8048,1,12,1128,1691,2,1,1,1,1,1,1,1,1,1,1,1,43600,309.1,5,61.59
MA,270,Simmons College,Boston,02115-5898,www.simmons.edu,42.3393,-71.099967,0.5216,2,11,1170,3397,1,1,0,1,1,0,1,1,1,1,1,1,51000,391.4,16,57.42
NJ,271,Seton Hall University,South Orange,07079-2697,www.shu.edu,40.742859,-74.248753,0.7554,2,21,1133,3320,0,1,0,1,1,0,1,1,1,1,1,1,53400,261.2,20,56.82
WA,272,Pacific Lutheran University,Tacoma,98447-0003,www.plu.edu,47.145494,-122.445372,0.7501,2,21,1115,3266,0,1,0,1,1,1,1,1,1,1,1,1,44900,285.2,12,59.26
