"","Name","Rank","City","State","Zip","Latitude","Longitude","ADMrate","Ownership","Setting","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"19","University of Chicago",19,"Chicago","IL","60637","41.78917","-87.601196","0.0876",2,"17","1505",64988,"0","1","0","1","0","1","1","1","2","0","1"
"20","Georgetown University",20,"Washington","DC","20057-0001","38.908809","-77.073463","0.1735",2,"17","1414",62179,"0","0","0","1","0","1","1","1","1","1","1"
"21","Boston College",21,"Chestnut Hill","MA","2467","42.337688","-71.171488","0.3391",2,"17","1380",60690,"0","1","0","1","0","1","1","1","1","1","1"
"22","Haverford College",22,"Haverford","PA","19041-1392","40.013368","-75.302562","0.2469",2,"11","1422",61898,"0","0","1","1","0","1","1","1","1","0","1"
"23","Davidson College",23,"Davidson","NC","28035","35.500006","-80.845236","0.2167",2,"11","1337",57458,"0","1","0","0","0","1","1","1","1","0","1"
"24","Duke University",24,"Durham","NC","27708","36.00159","-78.94226","0.1141",2,"17","1454",61748,"0","1","0","1","1","1","1","1","1","0","1"
"25","Carleton College",25,"Northfield","MN","55057-4001","44.462304","-93.154662","0.2277",2,"11","1408",60401,"0","1","0","1","0","1","1","1","1","0","1"
"26","Claremont McKenna College",26,"Claremont","CA","91711-6400","34.102323","-117.706593","0.1077",2,"11","1419",62010,"0","1","0","1","1","1","1","1","1","1","1"
"27","Washington and Lee University",27,"Lexington","VA","24450-2116","37.787832","-79.445724","0.1946",2,"11","1395",58575,"0","1","0","1","1","1","1","1","1","1","1"
"28","Cornell University",28,"Ithaca","NY","14853","42.447199","-76.483489","0.1419",2,"17","1422",61608,"1","1","1","1","1","1","1","1","1","1","1"
"29","Rice University",29,"Houston","TX","77005-1827","29.716485","-95.403625","0.151",2,"14","1460",54291,"0","1","1","1","1","1","1","1","1","1","1"
"30","Wellesley College",30,"Wellesley","MA","02481-8203","42.293765","-71.307966","0.3011",2,"11","1390",59092,"0","1","1","1","0","1","1","1","1","0","1"
"31","Vassar College",31,"Poughkeepsie","NY","12604","41.685105","-73.894345","0.2354",2,"11","1403",61320,"0","1","0","1","0","1","1","1","1","0","1"
"32","Middlebury College",32,"Middlebury","VT","5753","44.009117","-73.176068","0.1717",2,"11","1379",59470,"0","1","1","1","0","1","1","1","1","0","1"
"33","The University of Virginia's College at Wise",33,"Wise","VA","24293-4400","36.971468","-82.558728","0.6882",1,"10","946",20095,"0","0","0","1","1","0","1","0","1","1","1"
"34","Barnard College",34,"New York","NY","10027-6598","40.809137","-73.964027","0.2377",2,"11","1343",61171,"0","1","1","1","0","1","1","1","1","0","1"
